id,codigo,descripcion
1509234707,01221000100,Pago al régimen de ayudas a la forestación de tierras agrícolas por primas compensatorias de rentas para superficies agrarias forestadas
1509234708,01010010749,10.1.8.2 Sistemas agrarios de especial interés para las poblaciones de aves de los arrozales andaluces. Convocatoria 2022
1509234709,01010010401,10.1.13 Mantenimiento de sistemas tradicionales de ganadería extensiva de Andalucía en rumiantes. Convocatoria 2020
1509234710,01651012501,6501.2.1 Cultivos herbáceos de secano.  Convocatoria 2023
1509234711,01651012502,6501.2.3  Cultivos industriales.  Algodón y remolacha. Compromisos obligatorios. Convocatoria 2023
1509234712,01651012504,6501.2.4 Compromiso voluntario de Cultivos industriales. Algodón y remolacha. Convocatoria 2023
1509234713,01651012503,6501.2.2  Invernaderos: hortícolas intensivos.  Convocatoria 2023
1509234714,01651011801,6501.2.5 Castaño. Convocatoria 2023
1509234715,01651011802,6501.2.6  Uva Pasa. Convocatoria 2023
1509234716,01651010501,6501.4.1  Apicultura para la biodiversidad. Convocatoria 2023
1509234717,01653010001,6503.1 Conversión a prácticas y métodos de agricultura y ganadería ecológica. Convocatoria 2023
1509234718,01653010301,6503.1.1  Conversión a prácticas y métodos de apicultura ecológica. Convocatoria 2023
1509234719,01653020001,6503.2 Mantenimiento de prácticas y métodos de agricultura y ganadería ecológica. Convocatoria 2023
1509234720,01653020301,6503.2.1  Mantenimiento de prácticas y métodos de apicultura ecológica. Convocatoria 2023
1509234721,01655010201,6505.1.1  Fomento de razas autóctonas. Convocatoria 2023
1509234722,01661010002,6613.1 Pago compensatorio por zonas montañosas. Convocatoria 2024
1509234723,01661020002,6613.2 Pago compensatorio por otras zonas con limitaciones naturales significativas. Convocatoria 2024
1509234724,01661030002,6613.3 Pago compensatorio por otras zonas con limitaciones específicas. Convocatoria 2024
1509234725,02221000000,Forestación de tierras agrícolas
1509234726,02651010502,Apicultura con colmenares reducidos y dispersos. Convocatoria 2023
1509234727,02651010503,Apicultura con colmenares reducidos y dispersos. Convocatoria 2024
1509234728,02651010801,Lucha alternativa a la lucha química en el arroz. Convocatoria 2023
1509234729,02651010802,Lucha alternativa a la lucha química en el arroz. Convocatoria 2024
1509234730,02651011301,Cultivo de esparceta para el mantenimiento de la fauna esteparia. Convocatoria 2023
1509234731,02651011302,Mantenimiento de las actividades agrarias tradicionales en zonas de alta presencia de mamíferos. Convocatoria 2023
1509234732,02651011303,Mantenimiento de las actividades agrarias tradicionales en zonas de alta presencia de mamíferos. Convocatoria 2024
1509234733,02651012001,Mantenimiento del Rastrojo en la Red Natura 2000. Convocatoria 2023
1509234734,02651012201,Generación de alimento para la avifauna en el área de influencia socioeconómica de la Reserva Natural Dirigida de la Laguna de Gallocanta . Convocatoria 2023
1509234735,02651012202,Generación de alimento para la avifauna de los agrosistemas fuera del P.O.R.N. Convocatoria 2023
1509234736,02651012203,Generación de alimento para la avifauna en otras zonas. Convocatoria 2023
1509234737,02651012301,Generación de corredores biológicos en la Red Natura 2000. Convocatoria 2023
1509234738,02651012302,Generación de corredores biológicos en la Red Natura 2000. Convocatoria 2024
1509234739,02653000101,Agricultura ecológica. Convocatoria 2023
1509234740,02653000201,Ganadería ecológica. Convocatoria 2023
1509234741,02654000001,Bienestar y sanidad animal en ganadería extensiva. Convocatoria 2023
1509234742,02655010201,Mantenimiento de Razas Autóctonas españolas de protección especial o en peligro de extinción. Convocatoria 2023
1509234743,02013010009,Pagos compensatorios en zonas de montaña. Convocatoria 2024
1509234744,02013030005,Pagos compensatorios en zonas con limitaciones específicas. Convocatoria 2024
1509234745,02671010002,Pagos compensatorios por zonas agrícolas de la red Natura 2000. Convocatoria 2024
1509234746,02671030002,Pagos compensatorios por zonas agrícolas incluidas en planes hidrológicos de cuenca. Convocatoria 2024
1509234747,03010010504,Apicultura para la biodiversidad. Convocatoria 2023
1509234748,03010012701,Ayuda a las plantaciones de manzano para fomentar la biodiversidad. Convocatoria 2020
